id,name,singer,detected_key,confidence,first_chord,last_chord,num_chords,status,final_key
1000351,"דרך השלום","פאר טסי",Dm,1,Dm,Dm,92,ok,Dm
1000352,"כשאחר","אייל גולן",Gm,1,Gm,Gm,113,ok,Gm
1000353,"בלילות הקיץ החמים","מתי כספי",C,0.37,Cm,F,121,low-confidence,C
1000354,"אני וסימון ומואיז הקטן","יוסי בנאי",Cm,1,Cm,Cm,143,ok,Cm
1000355,"שני משוגעים","עומר אדם",Bm,0.46,Bm,Em,89,low-confidence,Bm
1000356,"לבחור נכון","אמיר דדון",C#m,0.44,A,C#m,83,low-confidence,C#m
1000357,"רוחות הצפון","אהוד בנאי",E,1,E,E,192,ok,E
1000358,"זמנך עבר","אהוד בנאי",Am,0.48,Am,Am,261,low-confidence,Am
1000359,"הבוקר שאחרי","יונתן רוזן",Am,1,Am,Am,128,ok,Am
1000360,"אולי נדבר","נדב גדג'",Bb,1,Bb,Bb,64,ok,Bb
1000361,"בן המלך","משינה",C,1,C,C,112,ok,C
1000362,"לו לו","כוורת",D,1,D,D,167,ok,D
1000363,"נוף אחר","יוני בלוך",E,0.72,E,B,92,ok,E
1000364,"שיר לשלום","להקת הנחל",C#m,1,C#m,C#m,119,ok,C#m
1000365,"את לא כמו כולם","משינה",E,1,E,E,146,ok,E
1000366,"אהבה קטנה","שירי מימון",D,0.49,Em,D,142,low-confidence,D
1000367,"במקום הכי נמוך בתל אביב","אסתר שמיר",Am,0.48,F,Am,233,low-confidence,Am
1000368,"אחת כמו כולם","גלי עטרי",F,0.94,Gm,F,92,ok,F
1000369,"זה לא אני","דני רובס",F#m,1,F#m,Ab,165,ok,F#m
1000370,"שיר ללא שם","יהודית רביץ",Am,0.71,Am,Em,150,ok,Am
1000371,"את לי לילה","בועז שרעבי",Am,0.94,C,Am,94,ok,Am
1000372,"ואם השיר הזה נשמע לכם מוכר","חנן יובל",Am,1,Am,Em,158,ok,Am
1000373,"אתה פה חסר לי","נורית גלרון",Bbm,1,Bbm,Am,105,ok,Bbm
1000374,"שיר בכיף","קורין אלאל",D,1,D,D,137,ok,D
1000375,"לא ידעתי שתלכי ממני","מתי כספי",Am,1,Am,Am,171,ok,Am
1000376,"רישומים","השייקס",Cm,1,G,Ab,151,ok,Cm
1000377,"בית ספר למשחק","מרינה מקסימיליאן בלומין",Dm,0.38,Gm,Em,95,low-confidence,Dm
1000378,"אני הולך לבית שאן","גרי אקשטיין",G,0.73,G,D,89,ok,G
1000379,"בביתי הנעול","ריטה",A,1,A,A,109,ok,A
1000380,"יום שישי חזר","מתי כספי",Am,0.99,Am,Am,270,ok,Am
1000381,"פרי גנך","אלי לוזון ואביבה אבידן",Fm,1,Fm,F,114,ok,Fm
1000382,"כשהלב בוכה","שרית חדד",Dm,1,Dm,Ebm,99,ok,Dm
1000383,"בואי כלה","אחינועם ניני",Bm,1,Bm,Bm,101,ok,Bm
1000384,"אבשלום","רוקפור",E,1,F#m,E,75,ok,E
1000385,"מילה טובה","יהודית רביץ",A,1,A,A,148,ok,A
1000386,"שאלתי מה קרה","שלמה ארצי",D,1,D,D,118,ok,D
1000387,"שתי אצבעות מצידון","בועז עופרי",Dm,0.72,C,Dm,80,ok,Dm
1000388,"הצריף הקטן","עפרה חזה",Am,1,Am,Am,121,ok,Am
1000389,"כתונת פסים","אומני ישראל",Cm,1,Cm,Cm,143,ok,Cm
1000390,"דמעות של מלאכים","אריק איינשטיין",D,1,G,D,126,ok,D
1000391,"לשיר איתך","בועז שרעבי ושושנה דמארי",Em,0.71,F,A,98,ok,Em
1000392,"אין שלווה","מתי כספי ",Cm,1,Cm,Cm,136,ok,Cm
1000393,"כלום לא עצוב ","אביתר בנאי ",C,1,C,C,140,ok,C
1000394,"פנים אל מול פנים","גידי גוב ואתי אנקרי ",C,1,C,F,176,ok,C
1000395,"הוא והיא","ערן צור",C,1,C,C,73,ok,C
1000396,"ערב ב' כסלו","כרמלה גרוס ואגנר",Ab,0.35,C,C#m,72,low-confidence,Ab
1000397,"לוקח ת'זמן","יצחק קלפטר ",E,1,E,E,128,ok,E
1000398,"למיה יש אקדח","כנסיית השכל",A,1,A,A,94,ok,A
1000399,"לעיתים","רעש",Bm,1,C,Bm,91,ok,Bm
1000400,"למה לי לקחת ללב","אריק איינשטיין ושלום חנוך",Am,1,Am,Am,112,ok,Am
1000401,"מה ידוע על היום הזה","מאור כהן",E,0.92,C,E,115,ok,E
1000402,"היום","שלום חנוך",E,0.57,Bm,E,202,ok,E
1000403,"מי יודע מדוע ולמה לובשת הזברה פיג'מה","משינה",A,1,G,A,169,ok,A
1000404,"ציור","מתי כספי ושלמה גרוניך",Gm,1,Gm,Gm,139,ok,Gm
1000405,"אחרי עשרים שנה","שמוליק קראוס",Am,1,Am,Bbm,125,ok,Am
1000406,"רק איתך","אריק איינשטיין",C,1,C,C,132,ok,C
1000407,"מכיר אותו","יוני בלוך",E,0.57,E,E,148,ok,E
1000408,"נעים בחוץ","יוני בלוך",F#,0.6,F#,Ebm,111,ok,F#
1000409,"אליעזר בן יהודה","מתי כספי",Bm,1,Bm,Bm,149,ok,Bm
1000410,"מליון פעם","מלכת הפלקט ",E,1,E,E,107,ok,E
1000411,"אחלה בחלה","הדורבנים",G,0.6,G,G,96,ok,G
1000412,"תתחנני אלי","אביתר בנאי",Gm,1,Gm,Gm,79,ok,Gm
1000413,"אל תשכחי אותנו ","מיסטר הרי",Em,1,Em,Em,123,ok,Em
1000414,"אהבתיה","שלמה ארצי",D,0.79,G,E,197,ok,D
1000415,"נאמר כבר הכל","החברים של נטאשה ",A,1,A,A,50,ok,A
1000416,"עץ ירוק מפלסטיק","מרגלית צנעני",Bbm,1,Bbm,Bbm,95,ok,Bbm
1000417,"את יפה שלי","מיקי גבריאלוב",G,1,G,G,134,ok,G
1000418,"זה היה סיפור של חורף","מיקי גבריאלוב",C,1,C,C,147,ok,C
1000419,"מילים יפות מאלה","עידן רייכל",F#m,1,F#m,F#m,111,ok,F#m
1000420,"הורוסקופ","החלונות הגבוהים",Em,0.88,G,Em,155,ok,Em
1000421,"טבריה","מיכה שטרית",Em,0.4,Em,C,129,low-confidence,Em
1000422,"בלדה בין כוכבים","פופיק ארנון",A,0.81,A,E,112,ok,A
1000423,"מה חשוב היום","אבי טולדנו",Gm,1,Gm,D,120,ok,Gm
1000424,"נועה של הים","יזהר אשדות",Bm,0.8,Bm,Bm,121,ok,Bm
1000425,"שמחות קטנות","עמיר בניון ומיכה שטרית",Em,1,Em,Em,115,ok,Em
1000426,"שלמים","עידן חביב",C,0.8,C,G,90,ok,C
1000427,"בוא איתי אל הגליל","להקת פיקוד צפון",Em,1,Em,E,216,ok,Em
1000428,"איך כש","יוסי אלפנט",C,1,C,C,81,ok,C
1000429,"דבר לא קרה","דני רובס",Dm,0.77,Dm,Dm,135,ok,Dm
1000430,"מיליארד טועים","אביב גפן",G,1,G,G,132,ok,G
1000431,"מהפכה של שמחה","ליאור נרקיס ועומר אדם",Gm,0.8,Gm,F,88,ok,Gm
1000432,"איזה יום","דודו טסה ",Gm,1,Eb,Gm,107,ok,Gm
1000433,"קיץ","ערן צור",Am,1,Am,A,117,ok,Am
1000434,"עד שתעזוב","ריטה",Ebm,1,Ebm,Ebm,126,ok,Ebm
1000436,"לא מחכה יותר לדוור","איגי וקסמן",Gm,1,Em,Gm,135,ok,Gm
1000437,"מהרי נא","אהוד בנאי",Am,1,Am,Am,214,ok,Am
1000438,"הנה הנה","מתי כספי",Cm,1,C#m,D,189,ok,Cm
1000439,"באה אליכם","מירי מסיקה",Dm,1,Dm,Dm,117,ok,Dm
1000440,"מגרד","יוני בלוך ואפרת גוש",E,1,E,E,89,ok,E
1000441,"תראו אותי","מופע הארנבות של דוקטור קספר",B,0.63,F#,G,125,ok,B
1000442,"קשה בלעדיך","שרון ליפשיץ",Eb,0.74,Eb,Bb,86,ok,Eb
1000443,"יבוא לטובה","פליי פסטיגל",C,1,C,C,89,ok,C
1000444,"נשבע","חיים משה",Bm,1,Bm,Cm,107,ok,Bm
1000445,"תרגיל בהתעוררות","שלומי שבן וחוה אלברשטיין",Dm,1,Dm,Dm,93,ok,Dm
1000446,"סרטים","קרח 9",G,0.89,G,D,89,ok,G
1000447,"אפר ואבק","יהודה פוליקר",G,0.84,G,A,86,ok,G
1000448,"שיר תקווה","אביב גפן",A,1,A,C,102,ok,A
1000449,"מה זאת אהבה","ריקי גל ומתי כספי",C,1,C,C,111,ok,C
1000450,"עבדים","ברי סחרוף",G,0.53,Em,Am,159,low-confidence,G
1000451,"צעיר לנצח","רמי קלינשטיין",D,0.94,Bm,D,96,ok,D
1000452,"חוץ ממך כלום","רמי קלינשטיין",G,1,G,G,111,ok,G
1000453,"לאונרדו","עברי לידר",E,1,E,E,135,ok,E
1000454,"זה מכבר","אושיק לוי",C,1,C,C,81,ok,C
1000455,"מחכה לו","דנה ברגר",Em,0.86,C,Em,72,ok,Em
1000456,"כוכבים","תיסלם",G,1,G,D,91,ok,G
1000457,"אני אשיר לך שיר","אריק לביא",C,0.86,G,D,141,ok,C
1000458,"ריקמה אנושית אחת","חוה אלברשטיין",C,1,C,C,159,ok,C
1000459,"לא סתם","אמיר דדון",Am,0.84,Em,Am,149,ok,Am
1000460,"כמה אני אוהב אותך","גיא מזיג",G,0.54,Em,Bm,261,low-confidence,G
1000461,"טיפ טיפה","אהוד בנאי",Dm,1,Dm,Dm,95,ok,Dm
1000462,"ריקוד המכונה","משינה",Am,1,Am,Am,131,ok,Am
1000463,"אני אוהב אותך","החברים של נטאשה",G,1,G,G,163,ok,G
1000464,"ניגע אל החלום","איחינועם ניני",C,1,F,C,112,ok,C
1000465,"מקום לדאגה","מתי כספי",C,1,C,C,118,ok,C
1000466,"קרן שמש","בניה ברבי",G,1,G,G,92,ok,G
1000467,"טרמינל לומינלט","מאיר אריאל",Em,1,Em,B,64,ok,Em
1000468,"מתי נתנשק","אביתר בנאי",G,1,G,G,85,ok,G
1000469,"הכל יכול לקרות","נינט טייב",E,0.99,B,E,56,ok,E
1000470,"פני מלאך","יואב יצחק",Em,1,Em,Em,184,ok,Em
1000471,"באה מאהבה","יהודית רביץ",Em,0.91,Em,G,166,ok,Em
1000472,"זה הגשם","נורית גלרון",Cm,1,Cm,Cm,120,ok,Cm
1000473,"מחפש תשובה","היהודים",Cm,1,Cm,Cm,101,ok,Cm
1000474,"עוד ארון אחד","היהודים",D,1,D,Em,156,ok,D
1000475,"ילד אסור ילד מותר","ריקי גל",Am,1,Am,Am,125,ok,Am
1000476,"הללויה (אדם חוזר)","הגבעטרון",Em,1,G,F,187,ok,Em
1000477,"בפונדק קטן","בני ברמן",Am,1,Am,Am,109,ok,Am
1000478,"האורח","הכל עובר חביבי",Cm,1,Cm,Cm,113,ok,Cm
1000479,"חלומות של אחרים","עידן רייכל",Fm,0.81,Fm,Fm,124,ok,Fm
1000480,"כל דבר קט","אלון אולארצ'יק",A,1,A,A,122,ok,A
1000481,"כולנו זקוקים לחסד","נורית גלרון",E,1,E,E,118,ok,E
1000482,"קרב אגרוף","אפרת גוש",Eb,0.41,Dm,Bb,66,low-confidence,Eb
1000483,"לילה","נוער שוליים",Fm,0.5,F,Db,127,low-confidence,Fm
1000484,"עתיד מתוק","משינה",E,0.25,E,E,113,low-confidence,E
1000485,"אהבה חדשה","אסף אמדורסקי",Em,1,Em,C,72,ok,Em
1000486,"בחברה להגנת הטבע","אריאל זילבר",Gm,0.64,Cm,Gm,185,ok,Gm
1000487,"במקום פרידה (אם תלך עכשיו)","שוקולד מנטה מסטיק",Am,1,Am,Am,86,ok,Am
1000488,"מי ראה את באני","מתי כספי",D,1,D,D,126,ok,D
1000489,"תמונה אימפרסיוניסטית","כרמלה גרוס ואגנר",D,0.97,D,G,89,ok,D
1000490,"אמסטרדם","נוער שוליים",C,0.71,Am,C,71,ok,C
1000491,"פלוגה בקו","מאיר אריאל",Em,1,Em,Em,125,ok,Em
1000492,"תמיד כשאתה בא","אפרת גוש",G,0.32,Gm,E,122,low-confidence,G
1000493,"שיר אחר","החברים של נטאשה",C#m,1,C#m,C#m,188,ok,C#m
1000494,"חושב עליה","עידן יניב וליאור דטאוקר",C#m,1,C#m,Dm,103,ok,C#m
1000495,"שקט","בלאגן",Cm,1,Cm,Ebm,112,ok,Cm
1000496,"שיר אהבה (כמו גלגל)","מתי כספי",Em,1,Em,Em,139,ok,Em
1000497,"שיר רועים","דני סנדרסון",D,1,D,D,108,ok,D
1000498,"סוף טוב","יוני בלוך",D,0.96,D,D,86,ok,D
1000499,"כאילו כאן","בועז מעודה",F#m,0.8,F#m,F#m,74,ok,F#m
1000500,"שלכת","אביב גפן",Am,0.74,Dm,Am,70,ok,Am
1000501,"אם זו אהבה","פרמיירה (מזי כהן)",C,0.7,Em,Fm,131,ok,C
1000502,"בצהרי היום","דיויד ברוזה ומאיר אריאל",Em,1,Em,Em,161,ok,Em
1000503,"על גגות תל אביב","אלונה דניאל",Am,1,Am,E,136,ok,Am
1000504,"תן לי כח","אריאל זילבר",G,1,G,G,59,ok,G
1000505,"הכל עומד במקום","גלי עטרי",G,0.43,Dm,Dm,87,low-confidence,G
1000506,"נודד אלייך","נקמת הטרקטור",Cm,1,Cm,Cm,117,ok,Cm
1000507,"שביר","אריק איינשטיין",Em,1,Em,Em,68,ok,Em
1000508,"מה אתה עושה כשאתה קם בבוקר","אריק איינשטיין",C,1,Bb,C,98,ok,C
1000509,"ארץ טרופית יפה","יהודית רביץ",E,1,E,E,135,ok,E
1000510,"עלה נישא ברוח","שושנה דמארי",Dm,1,Dm,Dm,106,ok,Dm
1000511,"עוד תראי את הדרך","מתי כספי",Em,1,Em,Em,164,ok,Em
1000512,"יש לי סיכוי","אביתר בנאי",Am,1,Am,Am,106,ok,Am
1000513,"מי האיש","חווה אלברשטיין",Em,1,Am,Em,82,ok,Em
1000514,"עץ השדה","שלום חנוך",Em,1,Em,Em,119,ok,Em
1000515,"התקווה","אין",Dm,1,Dm,Dm,49,ok,Dm
2000001,"אדון שוקו","אריק איינשטיין",G,1,A,G,79,ok,G
2000003,"אהבה ראשונה","החלונות הגבוהים",D,0.89,G,Bm,85,ok,D
2000004,"אהבה","דניאל סלומון",C,1,G,C,127,ok,C
2000005,"אהבת פועלי בניין","שלישיית גשר הירקון",C,1,C,A,135,ok,C
2000006,"אחכה לך","הנשמות הטהורות",Bbm,0.95,Bbm,Bm,133,ok,Bbm
2000008,"אי ירוק בים","יעל לוי",Am,1,C,Am,97,ok,Am
2000009,"אין לך מה לדאוג (תחתונים וגופיות)","עוזי פוקס",Em,1,Em,Fm,164,ok,Em
2000010,"אינך יכולה","החלונות הגבוהים",D,1,G,D,101,ok,D
2000011,"איתו לנצח","קרח 9",Bb,1,Bb,Bb,85,ok,Bb
2000012,"אלפונסינה והים","מתי כספי והפרברים",Bm,1,C,Bm,145,ok,Bm
2000013,"אני אש","רן דנקר ועילי בוטנר",Em,0.75,Em,B,104,ok,Em
2000014,"אני לא מפסיק להתרגש ממך","דני רובס",Em,0.6,C,Em,129,ok,Em
2000017,"בא לשכונה בחור חדש","אלון אולארצ'יק",Dm,1,Dm,Dm,134,ok,Dm
2000018,"בטי בם","אריאל זילבר",F#m,1,F#m,F#m,66,ok,F#m
2000019,"ביום ובלילה","כוורת",F,0.38,F,C,122,low-confidence,F
2000020,"בלב אחד (לא אשן בלילה)","חדוה עמרני ולהקת פלפל לבן",Em,1,Em,Em,79,ok,Em
2000021,"בלדה לסוכן כפול","משינה",Em,0.44,Em,Bm,73,low-confidence,Em
2000022,"בלוז מדרגות הרבנות","הכל עובר חביבי",E,1,E,E,157,ok,E
2000023,"בשדה ירוק","דני סנדרסון",C,0.33,C,D,109,low-confidence,C
2000026,"גבריאל","עפרה חזה",C,0.49,C,Am,115,low-confidence,C
2000027,"גלגל ענק","חלב ודבש",Dm,1,Dm,Dm,96,ok,Dm
2000028,"גלי","ירמי קפלן",C,0.42,C,Am,96,low-confidence,C
2000029,"גשם חזק","מוניקה סקס",C,0.83,C,A,103,ok,C
2000031,"האהבה הישנה","שלמה ארצי",Bm,1,Bm,Bm,116,ok,Bm
2000033,"האיש ההוא","יהודית רביץ",F,1,Dm,F,136,ok,F
2000034,"הבלדה על חדוה ושלומיק","מירי אלוני",Am,0.32,C,Am,108,low-confidence,Am
2000035,"הורה האחזות","כוורת",G,1,G,G,167,ok,G
2000037,"היום","אהוד בנאי",Am,1,Am,Am,133,ok,Am
2000039,"הכניסיני תחת כנפך","אריק איינשטיין",G,1,G,G,149,ok,G
2000040,"המסע הגדול","יוני רכטר",G,0.47,Dm,Am,175,low-confidence,G
2000041,"הנני כאן","יהורם גאון",Am,1,Em,E,96,ok,Am
2000042,"הצל ואני","יהודה פוליקר",Em,1,B,Em,90,ok,Em
2000044,"התחנה הישנה","טיפקס",Em,0.94,Em,Em,146,ok,Em
2000045,"והפעם שיר אהבה","טיפקס",Em,0.61,E,E,129,ok,Em
2000046,"זמר שלוש התשובות","רבקה זוהר",,,,,0,no-markup-url,
2000047,"חולם בספרדית","שלמה יידוב",C,1,F,C,179,ok,C
2000048,"חסקה","להקת חיל הים",Am,1,Am,Am,183,ok,Am
2000049,"יום יבוא","אל תקרא לי שחור",C,1,C,C,68,ok,C
2000051,"יום שישי","בנזין",C,1,F,C,187,ok,C
2000052,"יומן מסע","אביב גפן ואריק איינשטיין",Em,0.86,Em,Em,117,ok,Em
2000053,"יחזקאל","החלונות הגבוהים",Em,0.63,Em,B,72,ok,Em
2000054,"בני ילד רע","ריקי גל",Gm,1,Gm,Bm,162,ok,Gm
2000055,"ילד של אבא","מוקי",Em,1,Em,Em,133,ok,Em
2000056,"ימים של קולנוע","הטוב הרע והנערה",G,1,C,G,92,ok,G
2000057,"יש לי סימפטיה","שלמה גרוניך",Dm,1,Dm,Dm,183,ok,Dm
2000058,"כל מה שרצית","הדורבנים",Am,1,Am,Cm,156,ok,Am
2000059,"כמעט סתיו","גידי גוב",C,1,C,G,78,ok,C
2000060,"כתם הפרי","אתניקס",F,0.37,Dm,Bb,72,low-confidence,F
2000061,"לא יכול להוריד ממך את העיניים","מאיר אריאל",G,1,G,G,111,ok,G
2000062,"לגור איתו","ריקי גל",Am,1,Am,Am,100,ok,Am
2000064,"לו הייתי פיראט","השלושרים",Em,0.73,Em,Fm,102,ok,Em
2000065,"לילה בחוף אכזיב","שלישיית גשר הירקון",Em,1,Em,Em,100,ok,Em
2000066,"לך איתה","אילנה רובינא, נוער שוליים",Bm,1,Bm,Em,120,ok,Bm
2000067,"למה ליבך כמו קרח","גידי גוב",Em,1,B,Em,192,ok,Em
2000068,"לשם","מירי מסיקה",Bm,1,Bm,D,95,ok,Bm
2000069,"מחכה","ריטה",Am,1,Am,Am,102,ok,Am
2000070,"מכתב לאחי","קובי אפללו",Am,1,Am,Am,166,ok,Am
2000071,"מכתב קטן","דני רובס ואופירה יוספי",C,1,C,C,111,ok,C
2000072,"מלנכוליה אהובתי","חמי רודנר",Dm,1,Dm,Dm,175,ok,Dm
2000073,"נגיעה אחת רכה","גידי גוב",,,,,0,no-markup-url,
2000074,"נוסעת בעקבות האהבה","ורדינה כהן",Cm,1,Cm,Cm,77,ok,Cm
2000076,"נילס הולגרסון","יגאל בשן",C,1,F,C,59,ok,C
2000077,"סוף העולם","אביב גפן",C,0.49,Em,C,84,low-confidence,C
2000078,"עדיין מחכה לך","גידי גוב",G,1,G,C,123,ok,G
2000079,"עוד נפגש","אריק איינשטיין",Am,1,Dm,Am,142,ok,Am
2000080,"עוד סיפור אחד של אהבה","שימי תבורי",C,1,C,C,164,ok,C
2000081,"עטור מצחך","אריק איינשטיין",Em,0.48,Dm,Em,222,low-confidence,Em
2000082,"עכשיו אתה חוזר בחזרה","מירי מסיקה",Am,0.46,Am,Fm,105,low-confidence,Am
2000083,"על קו הזינוק","החברים של נטאשה",C,1,C,G,118,ok,C
2000084,"ענוג","נוער שוליים",Gm,1,Gm,Gm,80,ok,Gm
2000085,"ערב עירוני","יוסי בנאי",Em,1,Em,Fm,85,ok,Em
2000086,"פחות אבל כואב","יהודה פוליקר",C,1,C,C,81,ok,C
2000087,"פתאום כשלא באת","שלמה ארצי",A,1,A,A,151,ok,A
2000088,"צוותא","שלמה ארצי",F,0.79,F,F,221,ok,F
2000089,"צילו של יום קיץ","יזהר אשדות",Am,0.62,Gm,Am,163,ok,Am
2000090,"ציפור מדבר","אתניקס",Am,1,Am,E,96,ok,Am
2000091,"צליל מיתר","אייל גולן",Dm,1,Dm,Dm,140,ok,Dm
2000092,"צרות טובות","השלושרים",A,1,A,A,128,ok,A
2000093,"רומיאו","יהודית תמיר",Am,1,Am,Am,149,ok,Am
2000095,"שוב","חוה אלברשטיין ואריק סיני",Am,1,Am,A,110,ok,Am
2000096,"שי","הדודאים והפרברים",Am,1,Am,Am,118,ok,Am
2000097,"שיר הלהקה","להקת הנחל",Dm,1,Dm,Am,142,ok,Dm
2000098,"שיר ישן","אתניקס",G,1,Em,Bb,97,ok,G
2000100,"שיר נבואי קוסמי עליז","יוני רכטר",A,1,F#m,A,169,ok,A
2000101,"שיר סתיו (כל הנחלים הולכים לים)","אריק לביא",Dm,1,Dm,Dm,64,ok,Dm
2000103,"שיר של יום חולין","מאור כהן",Em,0.4,Gm,Em,142,low-confidence,Em
2000104,"שירות עצמי","כוורת",Am,0.65,Am,Am,149,ok,Am
2000106,"שירים פשוטים","שלמה גרוניך",G,1,G,G,101,ok,G
2000108,"תגידי שטוב","כנסיית השכל",Am,1,Am,Am,58,ok,Am
2000109,"אגדת השמש והירח","אתניקס",Am,0.98,Am,E,119,ok,Am
2000110,"אל תכעסי זה לא אסון","שלישיית גשר הירקון",Am,1,Am,Am,119,ok,Am
2000111,"אלייך","עידן עמדי",Am,1,Am,Am,95,ok,Am
2000113,"היא הולכת בדרכים","אלון אולארצ'יק",Am,1,Am,A,119,ok,Am
2000119,"נר על החלון","סטלה מאריס",Am,1,Am,Am,152,ok,Am
2000122,"קילפתי תפוז","אריק איינשטיין",Em,1,Em,Bm,88,ok,Em
2000123,"קרוב אל ליבך","רמי קלינשטיין",F,1,C,F,97,ok,F
2000127,"תחת שמי ים התיכון","שלמה ארצי",Em,1,Em,Em,150,ok,Em
2000128,"יסמין","הפיל הכחול",D,1,D,D,83,ok,D
2000130,"עדיין ריק","לירן דנינו",F#m,1,D,F#m,83,ok,F#m
2000132,"שש עשרה מלאו לנער","גבי שושן",Am,1,Am,A,122,ok,Am
2000134,"שלל שרב","גידי גוב",Em,0.6,Em,Em,92,ok,Em
2000137,"יש אי שם","גידי גוב",C,1,C,C,139,ok,C
2000138,"יו יה","כוורת",Am,1,Am,Am,130,ok,Am
2000139,"היא לא תדע","גזוז",Am,0.77,F,Am,130,ok,Am
2000141,"מסע ומתן","מוש בן ארי",A,0.47,A,D,112,low-confidence,A
2000142,"מסמרים ונוצות","מיכה שטרית",B,0.37,B,Em,97,low-confidence,B
2000143,"אל העולם שלך","רותם כהן",Bm,1,Bm,F#m,91,ok,Bm
2000144,"הכל מבינה","פורטרט",D,1,D,D,83,ok,D
2000145,"פרצופה של המדינה","תיסלם",Em,1,Em,Em,113,ok,Em
2000146,"מתוק כשמר לי","אליעד נחום",Em,1,Em,Em,55,ok,Em
2000148,"רכב חברה","אפליקציה",Em,1,Em,Em,97,ok,Em
2000149,"שבע עשרה","בן ארצי",G,1,G,D,156,ok,G
2000150,"שיר פרידה","שלמה ארצי",G,0.85,G,G,88,ok,G
2000151,"סיבה טובה","אריק סיני",C,1,C,C,135,ok,C
2000152,"מלך העולם","שלמה ארצי",B,1,Em,B,62,ok,B
2000153,"ארץ חדשה","שלמה ארצי",G,1,G,G,124,ok,G
2000154,"זכית בי","דדי דדון",Em,0.69,Em,Em,89,ok,Em
2000155,"אנשי הגשם","צוות חופים",Am,1,Am,Am,147,ok,Am
2000157,"היא התיישבה ליד פסנתר","גזוז",Em,0.32,G,Em,193,low-confidence,Em
2000160,"גולית","כוורת",A,1,A,C#m,240,ok,A
2000163,"יש בי אהבה","אריק איינשטיין",Am,0.44,Am,C,149,low-confidence,Am
2000165,"היא יודעת","נינט טייב",Dm,1,Dm,Dm,115,ok,Dm
2000167,"עוף גוזל","אריק איינשטיין",G,1,G,G,128,ok,G
2000169,"מתוק התפוח","הפרברים",Dm,1,Gm,Dm,132,ok,Dm
2000170,"גרעינים","דני רובס",G,1,G,G,140,ok,G
2000172,"לא נרדמת תל-אביב","דני רובס",B,1,Bm,B,117,ok,B
2000173,"הרקדן האוטומטי","צביקה פיק",C,1,C,C,117,ok,C
2000177,"לאן שלא תלכי","שירי מימון",Dm,1,Dm,Dm,102,ok,Dm
2000178,"נבראתי לך","שלמה ארצי",Bm,1,Bm,A,91,ok,Bm
2000179,"אני חיה לי מיום ליום","ריטה",C,0.52,Am,G,92,low-confidence,C
2000182,"אהבה קצרה","מאיר בנאי",Em,1,Em,Em,105,ok,Em
2000183,"כמה אהבה","מאיר בנאי",Em,1,Em,Em,128,ok,Em
2000184,"ערב בלי טלפון","יזהר אשדות",G,1,G,G,109,ok,G
2000185,"משהו ממני","הראל סקעת",Bm,1,F,Bm,95,ok,Bm
2000186,"מעליות","דודו טסה ורוני אלטר",Gm,1,Gm,Am,98,ok,Gm
2000187,"בוא","ריטה",E,1,E,E,116,ok,E
2000189,"זכיתי לאהוב","עברי לידר",C#m,0.62,E,Ab,77,ok,C#m
2000190,"נואיבה","שלמה גרוניך",Am,1,Am,Bbm,147,ok,Am
2000192,"אור גדול","אמיר דדון",C,1,C,C,94,ok,C
2000194,"איך אפשר שלא","ג'יין בורדו",A,1,A,A,103,ok,A
2000195,"בדידות","יזהר כהן",Am,1,Am,Am,90,ok,Am
2000197,"דואט פרידה","מני בגר וגלי עטרי",C,1,C,C,85,ok,C
2000198,"גשם","מאיר בנאי",Dm,0.85,Dm,G,130,ok,Dm
2000199,"רואה לך בעיניים","אתי אנקרי",Bm,1,Bm,Bm,77,ok,Bm
2000201,"עטוף ברחמים","ריטה",Am,1,Am,Am,75,ok,Am
2000202,"על הגשר הישן","רמי קלינשטיין",A,1,A,A,130,ok,A
2000203,"ימות משיח","דני ליטני",Am,1,Dm,Am,132,ok,Am
2000205,"לא יפריד דבר","דני סנדרסון",Am,0.46,Am,Am,106,low-confidence,Am
2000206,"בואי נגיד שאני שלך","אלון אולארצ'יק",C,0.87,G,C,106,ok,C
2000207,"בואי נשאר","גידי גוב",B,0.38,E,F#,118,low-confidence,B
2000212,"הוא חייב לבוא","חני נחמיאס",C,1,C,C,101,ok,C
2000214,"מכל האהבות","הפרוייקט של עידן רייכל",Dm,0.97,Dm,Dm,83,ok,Dm
2000215,"זהב","סטטיק ובן אל תבורי",A,1,A,A,65,ok,A
2000216,"הבלדה למחלקה להלבשה תחתונה","מרסדס בנד",C,1,C,C,81,ok,C
2000217,"פרידה קשה (אני אשתגע)","חוה אלברשטיין",Em,1,Em,Em,25,ok,Em
2000219,"אהובתי","משינה",Dm,1,Dm,Dm,80,ok,Dm
2000221,"אם את עדיין אוהבת אותי","בועז שרעבי",Am,1,F,Am,132,ok,Am
2000222,"לראות אותה היום (גרסת הופעה)","תיסלם",Gm,0.84,Em,Gm,130,ok,Gm
2000224,"מחכה","עידן חביב",Em,0.48,Em,Em,97,low-confidence,Em
2000226,"אין מדינה לאהבה","צביקה פיק",Am,1,Am,Am,74,ok,Am
2000228,"יש מקום","יהורם גאון",Em,1,Em,Em,68,ok,Em
2000229,"אני בא הביתה מהלילה","דני רובס",Bm,0.76,Bm,Bm,182,ok,Bm
2000231,"עוד חוזר הניגון","ברי סחרוף",D,0.43,D,A,64,low-confidence,D
